2024-10-24T13:06:56.033639340Z I1024 13:06:56.033469       1 main.go:109] "Version" version="v0.4.0-1042-g39b37c06-dirty"
2024-10-24T13:06:56.037355620Z I1024 13:06:56.037306       1 common.go:143] "Probing CSI driver for readiness"
2024-10-24T13:06:56.040023960Z I1024 13:06:56.039987       1 main.go:169] "CSI driver name" driver="pd.csi.storage.gke.io"
2024-10-24T13:06:56.041858120Z I1024 13:06:56.041695       1 common.go:143] "Probing CSI driver for readiness"
2024-10-24T13:06:56.042361491Z I1024 13:06:56.042308       1 main.go:195] "ServeMux listening" driver="pd.csi.storage.gke.io" address="localhost:8203" metricsPath="/metrics"
2024-10-24T13:06:56.045767730Z I1024 13:06:56.045717       1 main.go:249] "CSI driver supports ControllerPublishUnpublish, using real CSI handler" driver="pd.csi.storage.gke.io"
2024-10-24T13:06:56.045874170Z I1024 13:06:56.045851       1 main.go:257] "CSI driver supports list volumes published nodes. Using capability to reconcile volume attachment objects with actual backend state" driver="pd.csi.storage.gke.io"
2024-10-24T13:06:56.046379420Z I1024 13:06:56.046358       1 leaderelection.go:254] attempting to acquire leader lease openshift-cluster-csi-drivers/external-attacher-leader-pd-csi-storage-gke-io...
2024-10-24T13:10:14.824298563Z E1024 13:10:14.824183       1 leaderelection.go:436] error retrieving resource lock openshift-cluster-csi-drivers/external-attacher-leader-pd-csi-storage-gke-io: Get "https://172.30.0.1:443/apis/coordination.k8s.io/v1/namespaces/openshift-cluster-csi-drivers/leases/external-attacher-leader-pd-csi-storage-gke-io": dial tcp 172.30.0.1:443: i/o timeout
2024-10-24T13:13:05.268455177Z E1024 13:13:05.268366       1 leaderelection.go:436] error retrieving resource lock openshift-cluster-csi-drivers/external-attacher-leader-pd-csi-storage-gke-io: Get "https://172.30.0.1:443/apis/coordination.k8s.io/v1/namespaces/openshift-cluster-csi-drivers/leases/external-attacher-leader-pd-csi-storage-gke-io": dial tcp 172.30.0.1:443: i/o timeout
2024-10-24T13:17:09.799027650Z E1024 13:17:09.798935       1 leaderelection.go:436] error retrieving resource lock openshift-cluster-csi-drivers/external-attacher-leader-pd-csi-storage-gke-io: the server was unable to return a response in the time allotted, but may still be processing the request (get leases.coordination.k8s.io external-attacher-leader-pd-csi-storage-gke-io)
2024-10-24T13:24:28.909552539Z E1024 13:24:28.909281       1 leaderelection.go:436] error retrieving resource lock openshift-cluster-csi-drivers/external-attacher-leader-pd-csi-storage-gke-io: Get "https://172.30.0.1:443/apis/coordination.k8s.io/v1/namespaces/openshift-cluster-csi-drivers/leases/external-attacher-leader-pd-csi-storage-gke-io": dial tcp 172.30.0.1:443: i/o timeout
2024-10-24T13:28:52.237421452Z E1024 13:28:52.237314       1 leaderelection.go:436] error retrieving resource lock openshift-cluster-csi-drivers/external-attacher-leader-pd-csi-storage-gke-io: Get "https://172.30.0.1:443/apis/coordination.k8s.io/v1/namespaces/openshift-cluster-csi-drivers/leases/external-attacher-leader-pd-csi-storage-gke-io": dial tcp 172.30.0.1:443: i/o timeout
