2024-10-24T13:07:03.678741105Z I1024 13:07:03.678603       1 webhook.go:104] WebhookDependenciesReady: everything ready for webhooks
2024-10-24T13:07:03.710556944Z I1024 13:07:03.710486       1 clusteroperator.go:217] "new CO status" reason="WaitingForProvisioningCR" processMessage="" message="Waiting for Provisioning CR on BareMetal Platform"
2024-10-24T13:07:03.732196374Z I1024 13:07:03.732160       1 provisioning_controller.go:651] "Network stack calculation" NetworkStack=1
2024-10-24T13:07:03.750227694Z I1024 13:07:03.750181       1 recorder_logging.go:44] &Event{ObjectMeta:{dummy.18016566b8e54a68  dummy    0 0001-01-01 00:00:00 +0000 UTC <nil> <nil> map[] map[] [] [] []},InvolvedObject:ObjectReference{Kind:Pod,Namespace:dummy,Name:dummy,UID:,APIVersion:v1,ResourceVersion:,FieldPath:,},Reason:ValidatingWebhookConfigurationCreated,Message:Created ValidatingWebhookConfiguration.admissionregistration.k8s.io/cluster-baremetal-validating-webhook-configuration because it was missing,Source:EventSource{Component:,Host:,},FirstTimestamp:2024-10-24 13:07:03.750085224 +0000 UTC m=+0.137010439,LastTimestamp:2024-10-24 13:07:03.750085224 +0000 UTC m=+0.137010439,Count:1,Type:Normal,EventTime:0001-01-01 00:00:00 +0000 UTC,Series:nil,Action:,Related:nil,ReportingController:,ReportingInstance:,}
2024-10-24T13:07:03.750377244Z I1024 13:07:03.750340       1 webhook.go:177] "msg"="skip registering a mutating webhook, object does not implement admission.Defaulter or WithDefaulter wasn't called" "GVK"={"Group":"metal3.io","Version":"v1alpha1","Kind":"Provisioning"} "logger"="controller-runtime.builder"
2024-10-24T13:07:03.750431314Z I1024 13:07:03.750406       1 webhook.go:193] "msg"="Registering a validating webhook" "GVK"={"Group":"metal3.io","Version":"v1alpha1","Kind":"Provisioning"} "logger"="controller-runtime.builder" "path"="/validate-metal3-io-v1alpha1-provisioning"
2024-10-24T13:07:03.750535364Z I1024 13:07:03.750507       1 server.go:183] "msg"="Registering webhook" "logger"="controller-runtime.webhook" "path"="/validate-metal3-io-v1alpha1-provisioning"
2024-10-24T13:07:03.750569004Z I1024 13:07:03.750553       1 main.go:180] starting manager
2024-10-24T13:07:03.750735434Z I1024 13:07:03.750703       1 server.go:208] "msg"="Starting metrics server" "logger"="controller-runtime.metrics"
2024-10-24T13:07:03.750887574Z I1024 13:07:03.750849       1 server.go:191] "msg"="Starting webhook server" "logger"="controller-runtime.webhook"
2024-10-24T13:07:03.751376524Z I1024 13:07:03.751355       1 server.go:247] "msg"="Serving metrics server" "bindAddress"=":8080" "logger"="controller-runtime.metrics" "secure"=false
2024-10-24T13:07:03.751482024Z I1024 13:07:03.751440       1 certwatcher.go:161] "msg"="Updated current TLS certificate" "logger"="controller-runtime.certwatcher"
