2024-10-24T13:02:47.534388071Z + [[ -f /env/_master ]]
2024-10-24T13:02:47.534755921Z ++ date '+%m%d %H:%M:%S.%N'
2024-10-24T13:02:47.536436732Z I1024 13:02:47.536072432 - network-node-identity - start approver
2024-10-24T13:02:47.536469782Z + echo 'I1024 13:02:47.536072432 - network-node-identity - start approver'
2024-10-24T13:02:47.536469782Z + exec /usr/bin/ovnkube-identity --k8s-apiserver=https://api-int.ci-op-2fcpj5j6-f6035.XXXXXXXXXXXXXXXXXXXXXX:6443 --disable-webhook --csr-acceptance-conditions=/var/run/ovnkube-identity-config/additional-cert-acceptance-cond.json --loglevel=4
2024-10-24T13:02:47.556865901Z I1024 13:02:47.556723       1 ovnkubeidentity.go:132] Config: {kubeconfig: apiServer:https://api-int.ci-op-2fcpj5j6-f6035.XXXXXXXXXXXXXXXXXXXXXX:6443 logLevel:4 port:9443 host:localhost certDir: metricsAddress:0 leaseNamespace: enableInterconnect:false enableHybridOverlay:false disableWebhook:true disableApprover:false waitForKAPIDuration:0 localKAPIPort:6443 extraAllowedUsers:{slice:[] hasBeenSet:false} csrAcceptanceConditionFile:/var/run/ovnkube-identity-config/additional-cert-acceptance-cond.json csrAcceptanceConditions:[] podAdmissionConditionFile: podAdmissionConditions:[]}
2024-10-24T13:02:47.556865901Z W1024 13:02:47.556810       1 client_config.go:659] Neither --kubeconfig nor --master was specified.  Using the inClusterConfig.  This might not work.
2024-10-24T13:02:47.557619681Z I1024 13:02:47.557499       1 ovnkubeidentity.go:471] Starting certificate signing request approver
2024-10-24T13:02:47.557619681Z I1024 13:02:47.557572       1 leaderelection.go:250] attempting to acquire leader lease openshift-network-node-identity/ovnkube-identity...
2024-10-24T13:02:47.574225936Z I1024 13:02:47.574124       1 leaderelection.go:367] lock is held by ci-op-2fcpj5j6-f6035-2lklf-master-1_52494673-a4dc-4839-b3ee-84084b947233 and has not yet expired
2024-10-24T13:02:47.574225936Z I1024 13:02:47.574153       1 leaderelection.go:255] failed to acquire lease openshift-network-node-identity/ovnkube-identity
2024-10-24T13:03:18.570769397Z I1024 13:03:18.570651       1 leaderelection.go:367] lock is held by ci-op-2fcpj5j6-f6035-2lklf-master-1_52494673-a4dc-4839-b3ee-84084b947233 and has not yet expired
2024-10-24T13:03:18.570769397Z I1024 13:03:18.570684       1 leaderelection.go:255] failed to acquire lease openshift-network-node-identity/ovnkube-identity
2024-10-24T13:03:49.212522577Z I1024 13:03:49.212006       1 leaderelection.go:367] lock is held by ci-op-2fcpj5j6-f6035-2lklf-master-1_52494673-a4dc-4839-b3ee-84084b947233 and has not yet expired
2024-10-24T13:03:49.212522577Z I1024 13:03:49.212488       1 leaderelection.go:255] failed to acquire lease openshift-network-node-identity/ovnkube-identity
2024-10-24T13:04:24.752241120Z I1024 13:04:24.752179       1 leaderelection.go:367] lock is held by ci-op-2fcpj5j6-f6035-2lklf-master-1_52494673-a4dc-4839-b3ee-84084b947233 and has not yet expired
2024-10-24T13:04:24.752241120Z I1024 13:04:24.752207       1 leaderelection.go:255] failed to acquire lease openshift-network-node-identity/ovnkube-identity
2024-10-24T13:04:45.162791260Z I1024 13:04:45.162722       1 leaderelection.go:367] lock is held by ci-op-2fcpj5j6-f6035-2lklf-master-1_52494673-a4dc-4839-b3ee-84084b947233 and has not yet expired
2024-10-24T13:04:45.162791260Z I1024 13:04:45.162744       1 leaderelection.go:255] failed to acquire lease openshift-network-node-identity/ovnkube-identity
2024-10-24T13:05:11.175881028Z I1024 13:05:11.175673       1 leaderelection.go:367] lock is held by ci-op-2fcpj5j6-f6035-2lklf-master-1_52494673-a4dc-4839-b3ee-84084b947233 and has not yet expired
2024-10-24T13:05:11.175881028Z I1024 13:05:11.175697       1 leaderelection.go:255] failed to acquire lease openshift-network-node-identity/ovnkube-identity
2024-10-24T13:05:51.492465273Z I1024 13:05:51.492322       1 leaderelection.go:367] lock is held by ci-op-2fcpj5j6-f6035-2lklf-master-1_52494673-a4dc-4839-b3ee-84084b947233 and has not yet expired
2024-10-24T13:05:51.492465273Z I1024 13:05:51.492352       1 leaderelection.go:255] failed to acquire lease openshift-network-node-identity/ovnkube-identity
2024-10-24T13:06:25.486855449Z I1024 13:06:25.485742       1 leaderelection.go:367] lock is held by ci-op-2fcpj5j6-f6035-2lklf-master-1_52494673-a4dc-4839-b3ee-84084b947233 and has not yet expired
2024-10-24T13:06:25.486855449Z I1024 13:06:25.486195       1 leaderelection.go:255] failed to acquire lease openshift-network-node-identity/ovnkube-identity
2024-10-24T13:07:04.834809444Z I1024 13:07:04.834747       1 leaderelection.go:367] lock is held by ci-op-2fcpj5j6-f6035-2lklf-master-1_52494673-a4dc-4839-b3ee-84084b947233 and has not yet expired
2024-10-24T13:07:04.834809444Z I1024 13:07:04.834764       1 leaderelection.go:255] failed to acquire lease openshift-network-node-identity/ovnkube-identity
2024-10-24T13:07:31.368703116Z I1024 13:07:31.368642       1 leaderelection.go:367] lock is held by ci-op-2fcpj5j6-f6035-2lklf-master-1_52494673-a4dc-4839-b3ee-84084b947233 and has not yet expired
2024-10-24T13:07:31.368796236Z I1024 13:07:31.368716       1 leaderelection.go:255] failed to acquire lease openshift-network-node-identity/ovnkube-identity
2024-10-24T13:07:54.995069020Z I1024 13:07:54.995004       1 leaderelection.go:367] lock is held by ci-op-2fcpj5j6-f6035-2lklf-master-1_52494673-a4dc-4839-b3ee-84084b947233 and has not yet expired
2024-10-24T13:07:54.995156280Z I1024 13:07:54.995098       1 leaderelection.go:255] failed to acquire lease openshift-network-node-identity/ovnkube-identity
2024-10-24T13:08:40.024216207Z E1024 13:08:40.024132       1 leaderelection.go:347] error retrieving resource lock openshift-network-node-identity/ovnkube-identity: Get "https://api-int.ci-op-2fcpj5j6-f6035.XXXXXXXXXXXXXXXXXXXXXX:6443/apis/coordination.k8s.io/v1/namespaces/openshift-network-node-identity/leases/ovnkube-identity": http2: client connection lost
2024-10-24T13:08:40.024216207Z I1024 13:08:40.024171       1 leaderelection.go:255] failed to acquire lease openshift-network-node-identity/ovnkube-identity
2024-10-24T13:09:48.351177131Z E1024 13:09:48.351059       1 leaderelection.go:347] error retrieving resource lock openshift-network-node-identity/ovnkube-identity: Get "https://api-int.ci-op-2fcpj5j6-f6035.XXXXXXXXXXXXXXXXXXXXXX:6443/apis/coordination.k8s.io/v1/namespaces/openshift-network-node-identity/leases/ovnkube-identity": dial tcp 10.0.0.2:6443: i/o timeout
2024-10-24T13:09:48.351177131Z I1024 13:09:48.351105       1 leaderelection.go:255] failed to acquire lease openshift-network-node-identity/ovnkube-identity
2024-10-24T13:10:28.211811108Z E1024 13:10:28.211727       1 leaderelection.go:347] error retrieving resource lock openshift-network-node-identity/ovnkube-identity: Get "https://api-int.ci-op-2fcpj5j6-f6035.XXXXXXXXXXXXXXXXXXXXXX:6443/apis/coordination.k8s.io/v1/namespaces/openshift-network-node-identity/leases/ovnkube-identity": dial tcp 10.0.0.2:6443: connect: connection refused
2024-10-24T13:10:28.211811108Z I1024 13:10:28.211778       1 leaderelection.go:255] failed to acquire lease openshift-network-node-identity/ovnkube-identity
2024-10-24T13:11:10.426278116Z I1024 13:11:10.426149       1 leaderelection.go:367] lock is held by ci-op-2fcpj5j6-f6035-2lklf-master-1_52494673-a4dc-4839-b3ee-84084b947233 and has not yet expired
2024-10-24T13:11:10.426278116Z I1024 13:11:10.426177       1 leaderelection.go:255] failed to acquire lease openshift-network-node-identity/ovnkube-identity
2024-10-24T13:11:35.660806581Z I1024 13:11:35.660668       1 leaderelection.go:367] lock is held by ci-op-2fcpj5j6-f6035-2lklf-master-1_52494673-a4dc-4839-b3ee-84084b947233 and has not yet expired
2024-10-24T13:11:35.660806581Z I1024 13:11:35.660702       1 leaderelection.go:255] failed to acquire lease openshift-network-node-identity/ovnkube-identity
2024-10-24T13:12:10.975600826Z I1024 13:12:10.975513       1 leaderelection.go:367] lock is held by ci-op-2fcpj5j6-f6035-2lklf-master-0_2889f7c0-0c50-43b4-a6c9-a7924e059ff1 and has not yet expired
