2024-10-24T13:18:07.272218495Z I1024 13:18:07.271844       1 profiler.go:21] Starting profiling endpoint at http://127.0.0.1:6060/debug/pprof/
2024-10-24T13:18:07.272218495Z I1024 13:18:07.272190       1 observer_polling.go:159] Starting file observer
2024-10-24T13:18:07.272558015Z I1024 13:18:07.272517       1 cmd.go:250] Using service-serving-cert provided certificates
2024-10-24T13:18:07.272580625Z I1024 13:18:07.272549       1 leaderelection.go:121] The leader election gives 4 retries and allows for 30s of clock skew. The kube-apiserver downtime tolerance is 78s. Worst non-graceful lease acquisition is 2m43s. Worst graceful lease acquisition is {26s}.
2024-10-24T13:18:07.272967884Z I1024 13:18:07.272930       1 observer_polling.go:159] Starting file observer
2024-10-24T13:19:00.438064407Z I1024 13:19:00.437990       1 builder.go:298] openshift-cluster-etcd-operator version v0.0.0-alpha.0-1564-g26e5aee-26e5aee9
2024-10-24T13:19:00.865262910Z I1024 13:19:00.865219       1 secure_serving.go:57] Forcing use of http/1.1 only
2024-10-24T13:19:00.865348640Z W1024 13:19:00.865331       1 secure_serving.go:69] Use of insecure cipher 'TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256' detected.
2024-10-24T13:19:00.865397900Z W1024 13:19:00.865375       1 secure_serving.go:69] Use of insecure cipher 'TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256' detected.
2024-10-24T13:19:00.865397900Z W1024 13:19:00.865387       1 secure_serving.go:69] Use of insecure cipher 'TLS_RSA_WITH_AES_128_GCM_SHA256' detected.
2024-10-24T13:19:00.865397900Z W1024 13:19:00.865393       1 secure_serving.go:69] Use of insecure cipher 'TLS_RSA_WITH_AES_256_GCM_SHA384' detected.
2024-10-24T13:19:00.865431100Z W1024 13:19:00.865399       1 secure_serving.go:69] Use of insecure cipher 'TLS_RSA_WITH_AES_128_CBC_SHA' detected.
2024-10-24T13:19:00.865431100Z W1024 13:19:00.865403       1 secure_serving.go:69] Use of insecure cipher 'TLS_RSA_WITH_AES_256_CBC_SHA' detected.
2024-10-24T13:19:00.887925149Z I1024 13:19:00.887860       1 leaderelection.go:254] attempting to acquire leader lease openshift-etcd-operator/openshift-cluster-etcd-operator-lock...
2024-10-24T13:19:00.890177069Z I1024 13:19:00.889855       1 requestheader_controller.go:172] Starting RequestHeaderAuthRequestController
2024-10-24T13:19:00.890177069Z I1024 13:19:00.889937       1 shared_informer.go:313] Waiting for caches to sync for RequestHeaderAuthRequestController
2024-10-24T13:19:00.890177069Z I1024 13:19:00.890024       1 configmap_cafile_content.go:205] "Starting controller" name="client-ca::kube-system::extension-apiserver-authentication::client-ca-file"
2024-10-24T13:19:00.890177069Z I1024 13:19:00.890115       1 shared_informer.go:313] Waiting for caches to sync for client-ca::kube-system::extension-apiserver-authentication::client-ca-file
2024-10-24T13:19:00.890212839Z I1024 13:19:00.890177       1 configmap_cafile_content.go:205] "Starting controller" name="client-ca::kube-system::extension-apiserver-authentication::requestheader-client-ca-file"
2024-10-24T13:19:00.890212839Z I1024 13:19:00.890185       1 shared_informer.go:313] Waiting for caches to sync for client-ca::kube-system::extension-apiserver-authentication::requestheader-client-ca-file
2024-10-24T13:19:00.890613219Z I1024 13:19:00.890572       1 secure_serving.go:213] Serving securely on [::]:8443
2024-10-24T13:19:00.890707609Z I1024 13:19:00.890641       1 dynamic_serving_content.go:135] "Starting controller" name="serving-cert::/var/run/secrets/serving-cert/tls.crt::/var/run/secrets/serving-cert/tls.key"
2024-10-24T13:19:00.890875369Z I1024 13:19:00.890854       1 tlsconfig.go:243] "Starting DynamicServingCertificateController"
2024-10-24T13:19:00.992973567Z I1024 13:19:00.992888       1 shared_informer.go:320] Caches are synced for client-ca::kube-system::extension-apiserver-authentication::requestheader-client-ca-file
2024-10-24T13:19:00.993036387Z I1024 13:19:00.993002       1 shared_informer.go:320] Caches are synced for RequestHeaderAuthRequestController
