2024-10-24T13:31:11.310088339Z I1024 13:31:11.309814       1 cmd.go:91] &{<nil> true {false} installer true map[cert-configmaps:0xc000a35cc0 cert-dir:0xc000a35ea0 cert-secrets:0xc000a35c20 configmaps:0xc000a357c0 namespace:0xc000a355e0 pod:0xc000a35680 pod-manifest-dir:0xc000a35a40 resource-dir:0xc000a359a0 revision:0xc000a35540 secrets:0xc000a35720 v:0xc000a345a0] [0xc000a345a0 0xc000a35540 0xc000a355e0 0xc000a35680 0xc000a359a0 0xc000a35a40 0xc000a357c0 0xc000a35720 0xc000a35ea0 0xc000a35cc0 0xc000a35c20] [] map[cert-configmaps:0xc000a35cc0 cert-dir:0xc000a35ea0 cert-secrets:0xc000a35c20 configmaps:0xc000a357c0 help:0xc00013b680 kubeconfig:0xc000a354a0 log-flush-frequency:0xc000a34500 namespace:0xc000a355e0 optional-cert-configmaps:0xc000a35e00 optional-cert-secrets:0xc000a35d60 optional-configmaps:0xc000a35900 optional-secrets:0xc000a35860 pod:0xc000a35680 pod-manifest-dir:0xc000a35a40 pod-manifests-lock-file:0xc000a35b80 resource-dir:0xc000a359a0 revision:0xc000a35540 secrets:0xc000a35720 timeout-duration:0xc000a35ae0 v:0xc000a345a0 vmodule:0xc000a34640] [0xc000a354a0 0xc000a35540 0xc000a355e0 0xc000a35680 0xc000a35720 0xc000a357c0 0xc000a35860 0xc000a35900 0xc000a359a0 0xc000a35a40 0xc000a35ae0 0xc000a35b80 0xc000a35c20 0xc000a35cc0 0xc000a35d60 0xc000a35e00 0xc000a35ea0 0xc000a34500 0xc000a345a0 0xc000a34640 0xc00013b680] [0xc000a35cc0 0xc000a35ea0 0xc000a35c20 0xc000a357c0 0xc00013b680 0xc000a354a0 0xc000a34500 0xc000a355e0 0xc000a35e00 0xc000a35d60 0xc000a35900 0xc000a35860 0xc000a35680 0xc000a35a40 0xc000a35b80 0xc000a359a0 0xc000a35540 0xc000a35720 0xc000a35ae0 0xc000a345a0 0xc000a34640] map[104:0xc00013b680 118:0xc000a345a0] [] -1 0 0xc00071eab0 true <nil> []}
2024-10-24T13:31:11.310240439Z I1024 13:31:11.310079       1 cmd.go:92] (*installerpod.InstallOptions)(0xc00087c340)({
2024-10-24T13:31:11.310240439Z  KubeConfig: (string) "",
2024-10-24T13:31:11.310240439Z  KubeClient: (kubernetes.Interface) <nil>,
2024-10-24T13:31:11.310240439Z  Revision: (string) (len=2) "13",
2024-10-24T13:31:11.310240439Z  NodeName: (string) "",
2024-10-24T13:31:11.310240439Z  Namespace: (string) (len=14) "openshift-etcd",
2024-10-24T13:31:11.310240439Z  PodConfigMapNamePrefix: (string) (len=8) "etcd-pod",
2024-10-24T13:31:11.310240439Z  SecretNamePrefixes: ([]string) (len=1 cap=1) {
2024-10-24T13:31:11.310240439Z   (string) (len=14) "etcd-all-certs"
2024-10-24T13:31:11.310240439Z  },
2024-10-24T13:31:11.310240439Z  OptionalSecretNamePrefixes: ([]string) <nil>,
2024-10-24T13:31:11.310240439Z  ConfigMapNamePrefixes: ([]string) (len=3 cap=4) {
2024-10-24T13:31:11.310240439Z   (string) (len=8) "etcd-pod",
2024-10-24T13:31:11.310240439Z   (string) (len=14) "etcd-endpoints",
2024-10-24T13:31:11.310240439Z   (string) (len=16) "etcd-all-bundles"
2024-10-24T13:31:11.310240439Z  },
2024-10-24T13:31:11.310240439Z  OptionalConfigMapNamePrefixes: ([]string) <nil>,
2024-10-24T13:31:11.310240439Z  CertSecretNames: ([]string) (len=1 cap=1) {
2024-10-24T13:31:11.310240439Z   (string) (len=14) "etcd-all-certs"
2024-10-24T13:31:11.310240439Z  },
2024-10-24T13:31:11.310240439Z  OptionalCertSecretNamePrefixes: ([]string) <nil>,
2024-10-24T13:31:11.310240439Z  CertConfigMapNamePrefixes: ([]string) (len=3 cap=4) {
2024-10-24T13:31:11.310240439Z   (string) (len=16) "restore-etcd-pod",
2024-10-24T13:31:11.310240439Z   (string) (len=12) "etcd-scripts",
2024-10-24T13:31:11.310240439Z   (string) (len=16) "etcd-all-bundles"
2024-10-24T13:31:11.310240439Z  },
2024-10-24T13:31:11.310240439Z  OptionalCertConfigMapNamePrefixes: ([]string) <nil>,
2024-10-24T13:31:11.310240439Z  CertDir: (string) (len=47) "/etc/kubernetes/static-pod-resources/etcd-certs",
2024-10-24T13:31:11.310240439Z  ResourceDir: (string) (len=36) "/etc/kubernetes/static-pod-resources",
2024-10-24T13:31:11.310240439Z  PodManifestDir: (string) (len=25) "/etc/kubernetes/manifests",
2024-10-24T13:31:11.310240439Z  Timeout: (time.Duration) 2m0s,
2024-10-24T13:31:11.310240439Z  StaticPodManifestsLockFile: (string) "",
2024-10-24T13:31:11.310240439Z  PodMutationFns: ([]installerpod.PodMutationFunc) <nil>,
2024-10-24T13:31:11.310240439Z  KubeletVersion: (string) ""
2024-10-24T13:31:11.310240439Z })
2024-10-24T13:31:11.311487059Z I1024 13:31:11.311417       1 cmd.go:409] Getting controller reference for node ci-op-2fcpj5j6-f6035-2lklf-master-2
2024-10-24T13:31:11.420373365Z I1024 13:31:11.420296       1 cmd.go:422] Waiting for installer revisions to settle for node ci-op-2fcpj5j6-f6035-2lklf-master-2
2024-10-24T13:31:11.420549715Z I1024 13:31:11.420520       1 envvar.go:172] "Feature gate default state" feature="WatchListClient" enabled=false
2024-10-24T13:31:11.420605105Z I1024 13:31:11.420581       1 envvar.go:172] "Feature gate default state" feature="InformerResourceVersion" enabled=false
2024-10-24T13:31:11.437201735Z I1024 13:31:11.437130       1 cmd.go:514] Waiting additional period after revisions have settled for node ci-op-2fcpj5j6-f6035-2lklf-master-2
2024-10-24T13:31:41.437803436Z I1024 13:31:41.437675       1 cmd.go:520] Getting installer pods for node ci-op-2fcpj5j6-f6035-2lklf-master-2
2024-10-24T13:31:41.449638356Z I1024 13:31:41.449559       1 cmd.go:538] Latest installer revision for node ci-op-2fcpj5j6-f6035-2lklf-master-2 is: 13
2024-10-24T13:31:41.449638356Z I1024 13:31:41.449587       1 cmd.go:427] Querying kubelet version for node ci-op-2fcpj5j6-f6035-2lklf-master-2
2024-10-24T13:31:41.460381606Z I1024 13:31:41.460296       1 cmd.go:440] Got kubelet version 1.31.1 on target node ci-op-2fcpj5j6-f6035-2lklf-master-2
2024-10-24T13:31:41.460456856Z I1024 13:31:41.460382       1 cmd.go:289] Creating target resource directory "/etc/kubernetes/static-pod-resources/etcd-pod-13" ...
2024-10-24T13:31:41.460689646Z I1024 13:31:41.460641       1 cmd.go:217] Creating target resource directory "/etc/kubernetes/static-pod-resources/etcd-pod-13" ...
2024-10-24T13:31:41.460689646Z I1024 13:31:41.460664       1 cmd.go:225] Getting secrets ...
2024-10-24T13:31:41.471052585Z I1024 13:31:41.470939       1 copy.go:32] Got secret openshift-etcd/etcd-all-certs-13
2024-10-24T13:31:41.471269646Z I1024 13:31:41.471203       1 cmd.go:238] Getting config maps ...
2024-10-24T13:31:41.502151234Z I1024 13:31:41.502079       1 copy.go:60] Got configMap openshift-etcd/etcd-all-bundles-13
2024-10-24T13:31:41.510400974Z I1024 13:31:41.510271       1 copy.go:60] Got configMap openshift-etcd/etcd-endpoints-13
2024-10-24T13:31:41.520410964Z I1024 13:31:41.520267       1 copy.go:60] Got configMap openshift-etcd/etcd-pod-13
2024-10-24T13:31:41.520410964Z I1024 13:31:41.520362       1 cmd.go:257] Creating directory "/etc/kubernetes/static-pod-resources/etcd-pod-13/secrets/etcd-all-certs" ...
2024-10-24T13:31:41.520737753Z I1024 13:31:41.520681       1 cmd.go:635] Writing secret manifest "/etc/kubernetes/static-pod-resources/etcd-pod-13/secrets/etcd-all-certs/etcd-peer-ci-op-2fcpj5j6-f6035-2lklf-master-0.crt" ...
2024-10-24T13:31:41.521070074Z I1024 13:31:41.520916       1 cmd.go:635] Writing secret manifest "/etc/kubernetes/static-pod-resources/etcd-pod-13/secrets/etcd-all-certs/etcd-serving-ci-op-2fcpj5j6-f6035-2lklf-master-1.crt" ...
2024-10-24T13:31:41.521143983Z I1024 13:31:41.521117       1 cmd.go:635] Writing secret manifest "/etc/kubernetes/static-pod-resources/etcd-pod-13/secrets/etcd-all-certs/etcd-serving-metrics-ci-op-2fcpj5j6-f6035-2lklf-master-1.key" ...
2024-10-24T13:31:41.521303174Z I1024 13:31:41.521281       1 cmd.go:635] Writing secret manifest "/etc/kubernetes/static-pod-resources/etcd-pod-13/secrets/etcd-all-certs/etcd-peer-ci-op-2fcpj5j6-f6035-2lklf-master-1.crt" ...
2024-10-24T13:31:41.521458784Z I1024 13:31:41.521422       1 cmd.go:635] Writing secret manifest "/etc/kubernetes/static-pod-resources/etcd-pod-13/secrets/etcd-all-certs/etcd-serving-metrics-ci-op-2fcpj5j6-f6035-2lklf-master-0.crt" ...
2024-10-24T13:31:41.521574953Z I1024 13:31:41.521549       1 cmd.go:635] Writing secret manifest "/etc/kubernetes/static-pod-resources/etcd-pod-13/secrets/etcd-all-certs/etcd-peer-ci-op-2fcpj5j6-f6035-2lklf-master-2.crt" ...
2024-10-24T13:31:41.521735293Z I1024 13:31:41.521714       1 cmd.go:635] Writing secret manifest "/etc/kubernetes/static-pod-resources/etcd-pod-13/secrets/etcd-all-certs/etcd-serving-ci-op-2fcpj5j6-f6035-2lklf-master-0.crt" ...
2024-10-24T13:31:41.521962614Z I1024 13:31:41.521921       1 cmd.go:635] Writing secret manifest "/etc/kubernetes/static-pod-resources/etcd-pod-13/secrets/etcd-all-certs/etcd-serving-ci-op-2fcpj5j6-f6035-2lklf-master-2.crt" ...
2024-10-24T13:31:41.522088054Z I1024 13:31:41.522066       1 cmd.go:635] Writing secret manifest "/etc/kubernetes/static-pod-resources/etcd-pod-13/secrets/etcd-all-certs/etcd-serving-metrics-ci-op-2fcpj5j6-f6035-2lklf-master-2.crt" ...
2024-10-24T13:31:41.522224434Z I1024 13:31:41.522188       1 cmd.go:635] Writing secret manifest "/etc/kubernetes/static-pod-resources/etcd-pod-13/secrets/etcd-all-certs/etcd-peer-ci-op-2fcpj5j6-f6035-2lklf-master-0.key" ...
2024-10-24T13:31:41.522332383Z I1024 13:31:41.522311       1 cmd.go:635] Writing secret manifest "/etc/kubernetes/static-pod-resources/etcd-pod-13/secrets/etcd-all-certs/etcd-peer-ci-op-2fcpj5j6-f6035-2lklf-master-1.key" ...
2024-10-24T13:31:41.522483933Z I1024 13:31:41.522426       1 cmd.go:635] Writing secret manifest "/etc/kubernetes/static-pod-resources/etcd-pod-13/secrets/etcd-all-certs/etcd-serving-ci-op-2fcpj5j6-f6035-2lklf-master-0.key" ...
2024-10-24T13:31:41.522578044Z I1024 13:31:41.522553       1 cmd.go:635] Writing secret manifest "/etc/kubernetes/static-pod-resources/etcd-pod-13/secrets/etcd-all-certs/etcd-serving-ci-op-2fcpj5j6-f6035-2lklf-master-1.key" ...
2024-10-24T13:31:41.522767153Z I1024 13:31:41.522668       1 cmd.go:635] Writing secret manifest "/etc/kubernetes/static-pod-resources/etcd-pod-13/secrets/etcd-all-certs/etcd-serving-metrics-ci-op-2fcpj5j6-f6035-2lklf-master-0.key" ...
2024-10-24T13:31:41.522874013Z I1024 13:31:41.522792       1 cmd.go:635] Writing secret manifest "/etc/kubernetes/static-pod-resources/etcd-pod-13/secrets/etcd-all-certs/etcd-serving-ci-op-2fcpj5j6-f6035-2lklf-master-2.key" ...
2024-10-24T13:31:41.522963983Z I1024 13:31:41.522937       1 cmd.go:635] Writing secret manifest "/etc/kubernetes/static-pod-resources/etcd-pod-13/secrets/etcd-all-certs/etcd-serving-metrics-ci-op-2fcpj5j6-f6035-2lklf-master-2.key" ...
2024-10-24T13:31:41.523112063Z I1024 13:31:41.523065       1 cmd.go:635] Writing secret manifest "/etc/kubernetes/static-pod-resources/etcd-pod-13/secrets/etcd-all-certs/etcd-serving-metrics-ci-op-2fcpj5j6-f6035-2lklf-master-1.crt" ...
2024-10-24T13:31:41.523213374Z I1024 13:31:41.523186       1 cmd.go:635] Writing secret manifest "/etc/kubernetes/static-pod-resources/etcd-pod-13/secrets/etcd-all-certs/etcd-peer-ci-op-2fcpj5j6-f6035-2lklf-master-2.key" ...
2024-10-24T13:31:41.523337763Z I1024 13:31:41.523317       1 cmd.go:273] Creating directory "/etc/kubernetes/static-pod-resources/etcd-pod-13/configmaps/etcd-all-bundles" ...
2024-10-24T13:31:41.523458913Z I1024 13:31:41.523434       1 cmd.go:625] Writing config file "/etc/kubernetes/static-pod-resources/etcd-pod-13/configmaps/etcd-all-bundles/metrics-ca-bundle.crt" ...
2024-10-24T13:31:41.523548684Z I1024 13:31:41.523529       1 cmd.go:625] Writing config file "/etc/kubernetes/static-pod-resources/etcd-pod-13/configmaps/etcd-all-bundles/server-ca-bundle.crt" ...
2024-10-24T13:31:41.523654984Z I1024 13:31:41.523633       1 cmd.go:273] Creating directory "/etc/kubernetes/static-pod-resources/etcd-pod-13/configmaps/etcd-endpoints" ...
2024-10-24T13:31:41.523704344Z I1024 13:31:41.523684       1 cmd.go:625] Writing config file "/etc/kubernetes/static-pod-resources/etcd-pod-13/configmaps/etcd-endpoints/2dee09550bc489af" ...
2024-10-24T13:31:41.523794993Z I1024 13:31:41.523765       1 cmd.go:625] Writing config file "/etc/kubernetes/static-pod-resources/etcd-pod-13/configmaps/etcd-endpoints/529ebe931a1baebd" ...
