2024-10-24T13:03:27.739016785Z ++ K8S_NODE=ci-op-2fcpj5j6-f6035-2lklf-master-0
2024-10-24T13:03:27.739016785Z ++ [[ -n ci-op-2fcpj5j6-f6035-2lklf-master-0 ]]
2024-10-24T13:03:27.739016785Z ++ [[ -f /env/ci-op-2fcpj5j6-f6035-2lklf-master-0 ]]
2024-10-24T13:03:27.739016785Z ++ northd_pidfile=/var/run/ovn/ovn-northd.pid
2024-10-24T13:03:27.739016785Z ++ controller_pidfile=/var/run/ovn/ovn-controller.pid
2024-10-24T13:03:27.739016785Z ++ controller_logfile=/var/log/ovn/acl-audit-log.log
2024-10-24T13:03:27.739016785Z ++ vswitch_dbsock=/var/run/openvswitch/db.sock
2024-10-24T13:03:27.739016785Z ++ nbdb_pidfile=/var/run/ovn/ovnnb_db.pid
2024-10-24T13:03:27.739016785Z ++ nbdb_sock=/var/run/ovn/ovnnb_db.sock
2024-10-24T13:03:27.739016785Z ++ nbdb_ctl=/var/run/ovn/ovnnb_db.ctl
2024-10-24T13:03:27.739278325Z ++ sbdb_pidfile=/var/run/ovn/ovnsb_db.pid
2024-10-24T13:03:27.739278325Z ++ sbdb_sock=/var/run/ovn/ovnsb_db.sock
2024-10-24T13:03:27.739278325Z ++ sbdb_ctl=/var/run/ovn/ovnsb_db.ctl
2024-10-24T13:03:27.739933275Z + start-ovn-controller info
2024-10-24T13:03:27.739933275Z + local log_level=info
2024-10-24T13:03:27.739933275Z + [[ 1 -ne 1 ]]
2024-10-24T13:03:27.740434025Z ++ date -Iseconds
2024-10-24T13:03:27.742596944Z + echo '2024-10-24T13:03:27+00:00 - starting ovn-controller'
2024-10-24T13:03:27.742640495Z 2024-10-24T13:03:27+00:00 - starting ovn-controller
2024-10-24T13:03:27.742662575Z + exec ovn-controller unix:/var/run/openvswitch/db.sock -vfile:off --no-chdir --pidfile=/var/run/ovn/ovn-controller.pid --syslog-method=null --log-file=/var/log/ovn/acl-audit-log.log -vFACILITY:local0 -vconsole:info -vconsole:acl_log:off '-vPATTERN:console:%D{%Y-%m-%dT%H:%M:%S.###Z}|%05N|%c%T|%p|%m' -vsyslog:acl_log:info -vfile:acl_log:info
2024-10-24T13:03:27.746687134Z 2024-10-24T13:03:27Z|00001|vlog|INFO|opened log file /var/log/ovn/acl-audit-log.log
2024-10-24T13:03:27.748330694Z 2024-10-24T13:03:27.748Z|00002|reconnect|INFO|unix:/var/run/openvswitch/db.sock: connecting...
2024-10-24T13:03:27.748330694Z 2024-10-24T13:03:27.748Z|00003|reconnect|INFO|unix:/var/run/openvswitch/db.sock: connected
2024-10-24T13:03:27.750091324Z 2024-10-24T13:03:27.750Z|00004|main|INFO|OVN internal version is : [24.09.0-20.37.0-73.6]
2024-10-24T13:03:27.750091324Z 2024-10-24T13:03:27.750Z|00005|main|INFO|OVS IDL reconnected, force recompute.
2024-10-24T13:03:27.750091324Z 2024-10-24T13:03:27.750Z|00006|main|INFO|OVNSB IDL reconnected, force recompute.
2024-10-24T13:03:27.750091324Z 2024-10-24T13:03:27.750Z|00007|ovn_util|INFO|statctrl: connecting to switch: "unix:/var/run/openvswitch/br-int.mgmt"
2024-10-24T13:03:27.750091324Z 2024-10-24T13:03:27.750Z|00008|rconn|INFO|unix:/var/run/openvswitch/br-int.mgmt: connecting...
2024-10-24T13:03:27.750197824Z 2024-10-24T13:03:27.750Z|00009|ovn_util|INFO|pinctrl: connecting to switch: "unix:/var/run/openvswitch/br-int.mgmt"
2024-10-24T13:03:27.750197824Z 2024-10-24T13:03:27.750Z|00010|rconn|INFO|unix:/var/run/openvswitch/br-int.mgmt: connecting...
2024-10-24T13:03:27.750563984Z 2024-10-24T13:03:27.750Z|00001|rconn(ovn_statctrl2)|INFO|unix:/var/run/openvswitch/br-int.mgmt: connected
2024-10-24T13:03:27.750657884Z 2024-10-24T13:03:27.750Z|00001|rconn(ovn_pinctrl0)|INFO|unix:/var/run/openvswitch/br-int.mgmt: connected
2024-10-24T13:03:33.737377420Z 2024-10-24T13:03:33.737Z|00011|reconnect|INFO|unix:/var/run/ovn/ovnsb_db.sock: connecting...
2024-10-24T13:03:33.737377420Z 2024-10-24T13:03:33.737Z|00012|reconnect|INFO|unix:/var/run/ovn/ovnsb_db.sock: connected
2024-10-24T13:03:33.754746510Z 2024-10-24T13:03:33.754Z|00013|ovn_util|INFO|features: connecting to switch: "unix:/var/run/openvswitch/br-int.mgmt"
2024-10-24T13:03:33.754746510Z 2024-10-24T13:03:33.754Z|00014|rconn|INFO|unix:/var/run/openvswitch/br-int.mgmt: connecting...
2024-10-24T13:03:33.754811879Z 2024-10-24T13:03:33.754Z|00015|features|INFO|OVS Feature: ct_zero_snat, state: supported
2024-10-24T13:03:33.754811879Z 2024-10-24T13:03:33.754Z|00016|features|INFO|OVS Feature: ct_flush, state: supported
2024-10-24T13:03:33.754811879Z 2024-10-24T13:03:33.754Z|00017|features|INFO|OVS Feature: dp_hash_l4_sym_support, state: supported
2024-10-24T13:03:33.754811879Z 2024-10-24T13:03:33.754Z|00018|main|INFO|OVS feature set changed, force recompute.
2024-10-24T13:03:33.754811879Z 2024-10-24T13:03:33.754Z|00019|ovn_util|INFO|ofctrl: connecting to switch: "unix:/var/run/openvswitch/br-int.mgmt"
2024-10-24T13:03:33.754811879Z 2024-10-24T13:03:33.754Z|00020|rconn|INFO|unix:/var/run/openvswitch/br-int.mgmt: connecting...
2024-10-24T13:03:33.755204040Z 2024-10-24T13:03:33.755Z|00021|rconn|INFO|unix:/var/run/openvswitch/br-int.mgmt: connected
2024-10-24T13:03:33.755312269Z 2024-10-24T13:03:33.755Z|00022|main|INFO|OVS OpenFlow connection reconnected,force recompute.
2024-10-24T13:03:33.755413470Z 2024-10-24T13:03:33.755Z|00023|rconn|INFO|unix:/var/run/openvswitch/br-int.mgmt: connected
2024-10-24T13:03:33.755677830Z 2024-10-24T13:03:33.755Z|00024|features|INFO|OVS Feature: meter_support, state: supported
2024-10-24T13:03:33.755677830Z 2024-10-24T13:03:33.755Z|00025|features|INFO|OVS Feature: group_support, state: supported
2024-10-24T13:03:33.755693859Z 2024-10-24T13:03:33.755Z|00026|features|INFO|OVS Feature: sample_action_with_registers, state: supported
2024-10-24T13:03:33.755693859Z 2024-10-24T13:03:33.755Z|00027|main|INFO|OVS feature set changed, force recompute.
2024-10-24T13:03:33.755885219Z 2024-10-24T13:03:33.755Z|00028|binding|INFO|Claiming lport rtoj-GR_ci-op-2fcpj5j6-f6035-2lklf-master-0 for this chassis.
2024-10-24T13:03:33.755967130Z 2024-10-24T13:03:33.755Z|00029|binding|INFO|rtoj-GR_ci-op-2fcpj5j6-f6035-2lklf-master-0: Claiming 0a:58:64:40:00:03 100.64.0.3/16
2024-10-24T13:03:33.755967130Z 2024-10-24T13:03:33.755Z|00030|binding|INFO|Claiming lport etor-GR_ci-op-2fcpj5j6-f6035-2lklf-master-0 for this chassis.
2024-10-24T13:03:33.755967130Z 2024-10-24T13:03:33.755Z|00031|binding|INFO|etor-GR_ci-op-2fcpj5j6-f6035-2lklf-master-0: Claiming 42:01:0a:00:00:03
2024-10-24T13:03:33.755967130Z 2024-10-24T13:03:33.755Z|00032|binding|INFO|Claiming lport k8s-ci-op-2fcpj5j6-f6035-2lklf-master-0 for this chassis.
2024-10-24T13:03:33.755967130Z 2024-10-24T13:03:33.755Z|00033|binding|INFO|k8s-ci-op-2fcpj5j6-f6035-2lklf-master-0: Claiming fa:77:c2:a4:20:7a 10.129.0.2
2024-10-24T13:03:33.756007070Z 2024-10-24T13:03:33.755Z|00034|binding|INFO|Claiming lport jtor-GR_ci-op-2fcpj5j6-f6035-2lklf-master-0 for this chassis.
2024-10-24T13:03:33.756007070Z 2024-10-24T13:03:33.755Z|00035|binding|INFO|jtor-GR_ci-op-2fcpj5j6-f6035-2lklf-master-0: Claiming router
2024-10-24T13:03:33.756007070Z 2024-10-24T13:03:33.756Z|00036|binding|INFO|Claiming lport rtoe-GR_ci-op-2fcpj5j6-f6035-2lklf-master-0 for this chassis.
2024-10-24T13:03:33.756019049Z 2024-10-24T13:03:33.756Z|00037|binding|INFO|rtoe-GR_ci-op-2fcpj5j6-f6035-2lklf-master-0: Claiming 42:01:0a:00:00:03 10.0.0.3/32
2024-10-24T13:03:33.756028089Z 2024-10-24T13:03:33.756Z|00038|binding|INFO|Claiming lport cr-rtos-ci-op-2fcpj5j6-f6035-2lklf-master-0 for this chassis.
2024-10-24T13:03:33.756028089Z 2024-10-24T13:03:33.756Z|00039|binding|INFO|cr-rtos-ci-op-2fcpj5j6-f6035-2lklf-master-0: Claiming 0a:58:0a:81:00:01 10.129.0.1/23
2024-10-24T13:03:33.770415419Z 2024-10-24T13:03:33.770Z|00040|physical|WARN|Failed to locate tunnel to reach main chassis 0ea266e5-4375-40f8-b223-639412f2e349 for port tstor-ci-op-2fcpj5j6-f6035-2lklf-master-1.
2024-10-24T13:03:33.774004389Z 2024-10-24T13:03:33.773Z|00041|binding|INFO|Setting lport jtor-GR_ci-op-2fcpj5j6-f6035-2lklf-master-0 up in Southbound
2024-10-24T13:03:33.774004389Z 2024-10-24T13:03:33.773Z|00042|binding|INFO|Setting lport cr-rtos-ci-op-2fcpj5j6-f6035-2lklf-master-0 up in Southbound
2024-10-24T13:03:33.774004389Z 2024-10-24T13:03:33.773Z|00043|binding|INFO|Setting lport rtoe-GR_ci-op-2fcpj5j6-f6035-2lklf-master-0 up in Southbound
2024-10-24T13:03:33.774004389Z 2024-10-24T13:03:33.773Z|00044|binding|INFO|Setting lport etor-GR_ci-op-2fcpj5j6-f6035-2lklf-master-0 up in Southbound
2024-10-24T13:03:33.774004389Z 2024-10-24T13:03:33.773Z|00045|binding|INFO|Setting lport rtoj-GR_ci-op-2fcpj5j6-f6035-2lklf-master-0 up in Southbound
2024-10-24T13:03:34.025006179Z 2024-10-24T13:03:34.024Z|00046|binding|INFO|Setting lport k8s-ci-op-2fcpj5j6-f6035-2lklf-master-0 up in Southbound
2024-10-24T13:03:34.025286589Z 2024-10-24T13:03:34.025Z|00047|binding|INFO|Setting lport k8s-ci-op-2fcpj5j6-f6035-2lklf-master-0 ovn-installed in OVS
2024-10-24T13:03:37.907634538Z 2024-10-24T13:03:37.907Z|00048|memory|INFO|18604 kB peak resident set size after 10.2 seconds
2024-10-24T13:03:37.907634538Z 2024-10-24T13:03:37.907Z|00049|memory|INFO|idl-cells-OVN_Southbound:9337 idl-cells-Open_vSwitch:522 if_status_mgr_ifaces_state_usage-KB:1 if_status_mgr_ifaces_usage-KB:1 lflow-cache-entries-cache-expr:153 lflow-cache-entries-cache-matches:471 lflow-cache-size-KB:638 local_datapath_usage-KB:1 ofctrl_desired_flow_usage-KB:366 ofctrl_installed_flow_usage-KB:274 ofctrl_sb_flow_ref_usage-KB:149
2024-10-24T13:03:46.527089000Z 2024-10-24T13:03:46.527Z|00050|binding|INFO|Claiming lport openshift-e2e-loki_loki-promtail-pb4sr for this chassis.
2024-10-24T13:03:46.527199560Z 2024-10-24T13:03:46.527Z|00051|binding|INFO|openshift-e2e-loki_loki-promtail-pb4sr: Claiming 0a:58:0a:81:00:03 10.129.0.3
2024-10-24T13:03:46.539405529Z 2024-10-24T13:03:46.539Z|00052|binding|INFO|Setting lport openshift-e2e-loki_loki-promtail-pb4sr ovn-installed in OVS
2024-10-24T13:03:46.539479419Z 2024-10-24T13:03:46.539Z|00053|binding|INFO|Setting lport openshift-e2e-loki_loki-promtail-pb4sr up in Southbound
2024-10-24T13:03:47.624747687Z 2024-10-24T13:03:47.624Z|00054|binding|INFO|Claiming lport openshift-apiserver_apiserver-f67c66b4b-sppzf for this chassis.
2024-10-24T13:03:47.624747687Z 2024-10-24T13:03:47.624Z|00055|binding|INFO|openshift-apiserver_apiserver-f67c66b4b-sppzf: Claiming 0a:58:0a:81:00:06 10.129.0.6
2024-10-24T13:03:47.638515736Z 2024-10-24T13:03:47.638Z|00056|binding|INFO|Setting lport openshift-apiserver_apiserver-f67c66b4b-sppzf ovn-installed in OVS
2024-10-24T13:03:47.638637296Z 2024-10-24T13:03:47.638Z|00057|binding|INFO|Setting lport openshift-apiserver_apiserver-f67c66b4b-sppzf up in Southbound
2024-10-24T13:03:55.777216979Z 2024-10-24T13:03:55.771Z|00058|binding|INFO|Claiming lport openshift-kube-scheduler_installer-1-ci-op-2fcpj5j6-f6035-2lklf-master-0 for this chassis.
2024-10-24T13:03:55.777216979Z 2024-10-24T13:03:55.771Z|00059|binding|INFO|openshift-kube-scheduler_installer-1-ci-op-2fcpj5j6-f6035-2lklf-master-0: Claiming 0a:58:0a:81:00:0a 10.129.0.10
